Facility ID,County Name Of Facility Location,Facility Name,Facility Type,Phone Number,Permit Type,Email Address,Location Address Line 1,Location City,Location State,Location Zip Code,Full Address ,Mailing Address Line 1,Mailing City,Mailing State,Mailing Zip Code
01000044,Alamance,CHILDREN'S HOUSE MONTESSORI,Center,(336) 228-0908,Three Star Center License,denisem@chmontessori.org,3750 ALAMANCE ROAD,BURLINGTON,NC,27215,,,,,
01000109,Alamance,"LOVE-A-LOT DAY CARE & PRESCHOOL, INC",,(336) 228-8157,Three Star Center License,luvlotl@aol.com,721 N  FISHER ST,BURLINGTON,NC,27217,,,,,
01000136,Alamance,LAWSON'S PRESCHOOL,,(336) 570-3132,Four Star Center License,sandralawson57@yahoo.com,810 N  MAIN ST,GRAHAM,NC,27253,,,,,
01000203,Alamance,MARY'S CREATIVE PLAY PRESCHOOL,,(336) 228-1908,Four Star Center License,mbozeman@clearwire.net,823 LAKESIDE AVE,BURLINGTON,NC,27217,,,,,
01000214,Alamance,GRAHAM HEAD START,,(336) 629-5141,Four Star Center License,njohnston@regionalcs.org,620 RAY STREET,GRAHAM,NC,27253,,P O BOX 1883,ASHEBORO,NC,27204
01000216,Alamance,LOTS OF LUV,,(336) 229-0611,Four Star Center License,gibsonkat@yahoo.com,808 OAKLEY ST,GRAHAM,NC,27253,,,,,
01000231,Alamance,F.A.C.B. CHILD DEVELOPMENT CENTER,,(919) 563-5571,Four Star Center License,fbradshaw1@triad.rr.com,639 SOUTH 8TH ST,MEBANE,NC,27302,,,,,
01000244,Alamance,CHILDCARE NETWORK #78,,(336) 226-7362,Five Star Center License,cni78@childcarenetwork.com,827 S SELLERS MILL RD,BURLINGTON,NC,27217,,,,,
01000253,Alamance,CREATIVE CHILDCARE,,(336) 578-7343,Five Star Center License,gravesexume@aol.com,3216 NC HWY 54 EAST,GRAHAM,NC,27253,,,,,
01000260,Alamance,BRIGHT STARZ LEARNING CENTER,,(336) 226-5748,Four Star Center License,gostab@bellsouth.net,421 FULTON STREET,BURLINGTON,NC,27217,,,,,
01000281,Alamance,BEGINNING VISION CHILD DEVELOPMENT CENTER,,(336) 449-4070,Five Star Center License,valmorrisbv@live.com,145 HUFFINE STREET,GIBSONVILLE,NC,27249,,,,,
01000282,Alamance,PATTY CAKES HOME CHILD CARE,,(336) 578-2906,Three Star Center License,pattycakeschildcare1@yahoo.com,2443 MICHELLE DR,BURLINGTON,NC,27217,,,,,
01000313,Alamance,JANICE S SCARBOROUGH HEAD START,,(336) 629-5141,Five Star Center License,jscarborough@regionalcs.org,615 GUNN ST,BURLINGTON,NC,27217,,P O BOX 1883,ASHEBORO,NC,27204
01000324,Alamance,ARMC FAMILY ENRICHMENT CENTER,,(336) 586-9767,Five Star Center License,armc@brighthorizons.com,981 KIRKPATRICK RD,BURLINGTON,NC,27215,,,,,
01000362,Alamance,HEAD START JUNCTION,,(336) 436-0202,Five Star Center License,phoran@regionalcs.org,421 ALAMANCE RD,BURLINGTON,NC,27215,,PO BOX 1883,ASHEBORO,NC,27204
01000394,Alamance,LYNN'S CHILD CARE CENTER,,(336) 567-7683,Four Star Center License,lynnettegarner17@gmail.com,1146 JACKSON ST,BURLINGTON,NC,27217,,PO BOX 2172,BURLINGTON,NC,27216
01000401,Alamance,LITTLE DELIGHTS EDUCARE,,(336) 221-9970,Four Star Center License,aedmonds@triad.rr.com,603 NORTH GRAHAM HOPEDALE ROAD,BURLINGTON,NC,27217,,PO BOX 781,GRAHAM,NC,27253
01000412,Alamance,"STEPHANIE'S CDC, INC.",,(336) 578-5015,Four Star Center License,,2347 S HWY 119,MEBANE,NC,27302,,,,,
01000416,Alamance,LAWSON'S PRESCHOOL,,(336) 227-2428,Three Star Center License,sandralawson57@yahoo.com,612 E ELM STREET,GRAHAM,NC,27253,,,,,
01000426,Alamance,PLEASANT GROVE ELEMENTARY PRE-K,,(336) 421-3701,Five Star Center License,,2847 PLEASANT GROVE SCHOOL RD,BURLINGTON,NC,27217,,,,,
01000427,Alamance,EM YODER ELEMENTARY PRE-K,,(919) 563-3722,Five Star Center License,,301 N CHARLES STREET,MEBANE,NC,27302,,,,,
01000429,Alamance,ALEXANDER WILSON ELEMENTARY PRE-K,,(336) 578-1366,Five Star Center License,James_Richardson@abss.k12.nc.us,2518 NC 54,GRAHAM,NC,27253,,,,,
01000430,Alamance,SOUTH GRAHAM ELEMENTARY PRESCHOOL,,(336) 570-6520,Five Star Center License,elizabeth_price@abss.k12.nc.us,320 IVEY ROAD,GRAHAM,NC,27253,,609 RAY STREET,GRAHAM,NC,27253
01000432,Alamance,HARVEY NEWLIN ELEMENTARY PRE-K,,(336) 570-6125,Five Star Center License,beverly_goins@abss.k12.nc.us,316 CARDEN STREET,BURLINGTON,NC,27215,,,,,
01000433,Alamance,GROVE PARK ELEMENTARY PRE-K,,(336) 570-6115,Five Star Center License,,141 TRAIL ONE,BURLINGTON,NC,27215,,,,,
01000434,Alamance,HILLCREST ELEMENTARY PRE-K,,(336) 570-6120,Five Star Center License,doris_steele@abss.k12.nc.us,1714 WEST DAVIS STREET,BURLINGTON,NC,27215,,,,,
01000441,Alamance,LIFESPAN CIRCLE SCHOOL BURLINGTON,,(336) 513-4250,Five Star Center License,mshannon@lifespanservices.org,919 STOKES STREET,BURLINGTON,NC,27215,,,,NC,
01000449,Alamance,MARVIN B SMITH ELEMENTARY PRE-K,,(336) 570-6140,Five Star Center License,Julie_Hancock@abss.k12.nc.us,2235 DELANY DRIVE,BURLINGTON,NC,27215,,609 RAY STREET,GRAHAM,NC,27253
01000459,Alamance,NOAH'S ARK ACADEMY CHILD DEVELOPMENT CENTER,,(336) 263-4998,Four Star Center License,arknoahsark@yahoo.com,3564 HWY 119 NORTH,MEBANE,NC,27302,,,,,
01000472,Alamance,SONYA'S KIDZ DEPOT,,(336) 227-2525,Four Star Center License,plynn@netpath.net,2206 SWEPSONVILLE ROAD,GRAHAM,NC,27253,,,,,
01000474,Alamance,CREATIVE CHILD CARE 2,,(336) 226-6209,Five Star Center License,ccc287@aol.com,2257 NC 87S,GRAHAM,NC,27253,,P O BOX 884,GRAHAM,NC,27253
01000501,Alamance,LITTLE THINKERS,,(336) 227-9131,Four Star Center License,director@littlethinkersnc.com,2485 MORAN ST,BURLINGTON,NC,27215,,,,,
01000505,Alamance,KIDZ-N-PROGRESS,,(919) 563-5439,Four Star Center License,kidzNprogress2@yahoo.com,202 GILES ST,MEBANE,NC,27302,,,,,
01000520,Alamance,THE GROWING YEARS LEARNING CENTER,,(336) 261-0651,Five Star Center License,burlington_director@tgykids.com,3804 BONNAR BRIDGE PARKWAY,BURLINGTON,NC,27215,,,,,
01000522,Alamance,ELON ELEMENTARY PREK,,(336) 538-6000,Five Star Center License,John_Davern@abss.k12.nc.us,510 E HAGGARD AVE,ELON,NC,27244,,,,,
01000524,Alamance,HAW RIVER ELEMENTARY PREK,,(336) 518-0177,Five Star Center License,,701 E MAIN ST,HAW RIVER,NC,27258,,,,,
01000538,Alamance,POSITIVE DAY SCHOOL,,(336) 222-6066,Three Star Center License,positiveattitude@att.net,229 N GRAHAM-HOPEDALE RD,BURLINGTON,NC,27217,,,,,
01000549,Alamance,SYLVAN ELEMENTARY PREK,,(336) 376-3350,Five Star Center License,whitney_oakley@abss.k12.nc.us,7718 SYLVAN SCHOOL RD,SNOW CAMP,NC,27349,,,,,
01000550,Alamance,KIDZ N PROGRESS 2,,(336) 578-0881,Three Star Center License,kidznprogress2@yahoo.com,807 E MAIN ST,HAW RIVER,NC,27258,,P O BOX 1136,HAW RIVER,NC,27258
01000559,Alamance,NORTH GRAHAM ELEMENTARY PREK,,(336) 578-2272,Five Star Center License,,1025 TROLLINGER RD,GRAHAM,NC,27253,,,,,
01000560,Alamance,EASTLAWN ELEMENTARY PREK,,(336) 570-6180,Five Star Center License,,502 N GRAHAM HOPEDALE RD,BURLINGTON,NC,27217,,,,,
01000561,Alamance,ANDREWS ELEMENTARY PREK,,(336) 570-6170,Five Star Center License,,2630 BUCKINGHAM RD,BURLINGTON,NC,27217,,,,,
01000564,Alamance,LIKE MY OWN DAY CARE #2,,(336) 221-8111,Three Star Center License,shaytimp@aol.com,1139 CHAPEL HILL RD,BURLINGTON,NC,27215,,,,,
01000568,Alamance,STEP BY STEP,,(336) 584-5850,Three Star Center License,,4811 PAGETOWN RD,BURLINGTON,NC,27217,,,,,
01000573,Alamance,EXPLORATION STATION,,(336) 261-8020,Three Star Center License,exploration@ci.burlington.nc.us,827 S GRAHAM-HOPEDALE RD,BURLINGTON,NC,27217,,P O BOX 1358,BURLINGTON,NC,27216
01000585,Alamance,SAXAPAHAW VILLAGE KIDS,,(336) 525-2545,GS 110-106,saxapahawvillagekids@gmail.com,5624 CHURCH ROAD,GRAHAM,NC,27253,,P O BOX 268,SAXAPAHAW,NC,27340
01000588,Alamance,GARRETT ELEMENTARY PREK,,(919) 563-2088,Five Star Center License,,3224 OLD HILLSBOROUGH RD,MEBANE,NC,27302,,,,NC,
01000590,Alamance,LOVE'S CHILDCARE,,(336) 524-6161,Four Star Center License,aking1809@yahoo.com,906 EAST MAIN STREET,HAW RIVER,NC,27258,,PO BOX 1116,HAW RIVER,NC,27258
01000593,Alamance,N K DANIEL CHRISTIAN PRESCHOOL,,(919) 568-0316,Three Star Center License,nkdanielm@gmail.com,947 S 5TH ST,MEBANE,NC,27302,,,,,
01000604,Alamance,EXCEL CHRISTIAN ACADEMY,,(336) 229-1982,Five Star Center License,dwoods@ebenezerucc.com,825 APPLE ST,BURLINGTON,NC,27217,,734 APPLE ST,BURLINGTON,NC,27217
01000605,Alamance,KIDZ N PROGRESS SCHOOL AGE LEARNING CENTER,,(336) 578-3007,Three Star Center License,,718 E MAIN ST,HAW RIVER,NC,27258,,P O BOX 1136,HAW RIVER,NC,27258
01000607,Alamance,LIKE MY OWN #3,,(336) 675-4878,Three Star Center License,,1315 PLAZA DR,BURLINGTON,NC,27217,,P O BOX 2782,BURLINGTON,NC,27217
01000614,Alamance,MUMS - THE KITTY HUPMAN WEEKDAY SCHOOL,,(919) 563-5600,Three Star Center License,,200 S FOURTH ST  SUITE B,MEBANE,NC,27302,,,,,
01000616,Alamance,JOYFUL LEARNING CENTER,,(336) 395-3873,Three Star Center License,,601 W ELM ST,GRAHAM,NC,27302,,,,NC,
01000622,Alamance,CHILDCARE NETWORK #78B,,(336) 506-6411,Five Star Center License,tburris@childcarenetwork.com,100 E HANOVER ROAD,GRAHAM,NC,27253,,827 S SELLARS MILL ROAD,BURLINGTON,NC,27217
01000623,Alamance,"BOYS-N-GIRLS LEARNING CENTER, INC.",,(336) 226-7200,Three Star Center License,boysandgirls_lc@yahoo.com,106 ALBANY STREET,GRAHAM,NC,27253,,PO BOX 594,BURLINGTON,NC,27216
01000624,Alamance,CLARENCE KIDS ACADEMY,,(336) 436-9031,Three Star Center License,clarencekidsacademy@gmail.com,1100 RIVERBEND RD,GRAHAM,NC,27253,,,,NC,
01000625,Alamance,CHILDCARE NETWORK #297,,(336) 584-5678,Four Star Center License,,1010 WILLIAMSON AVE,ELON,NC,27244,,,,,
01000626,Alamance,KOOL KIDZ PLACE,,(336) 350-9310,Temporary License,boysandgirls_lc@yahoo.com,1824 EAST WEBB AVENUE,BURLINGTON,NC,27215,,,,NC,
0153874,Alamance,CHILD DEVELOPMENT CENTER FIRST PRESBYTERIAN CHURCH,,(336) 226-7055,Five Star Center License,fprescdc@fpcburlington.org,508 W  DAVIS STREET,BURLINGTON,NC,27215,,,,,
0155013,Alamance,DEMONSTRATION DEVELOPMENT DAY CARE OF ALAMANCE,,(336) 506-4123,Five Star Center License,childcarecenter.acc2.alamance@alamancecc.edu,1247 JIMMIE KERR ROAD,GRAHAM,NC,27253,,P O BOX 8000,GRAHAM,NC,27253
0155018,Alamance,HAW RIVER DAY CARE,,(336) 578-0827,Three Star Center License,janietew8392@gmail.com,601 S MAIN ST,HAW RIVER,NC,27258,,P O BOX 111,HAW RIVER,NC,27258
0155035,Alamance,MYRA'S TENDER LOVING CARE NURSERY & PRESCHOOL,,(336) 350-9444,Five Star Center License,myragilliam@gmail.com,154 BLAND BOULEVARD,BURLINGTON,NC,27217,,,,,
0155041,Alamance,FIRST BAPTIST CHILD DEVELOPMENT CENTER,,(336) 228-6692,Four Star Center License,tinylittleones@yahoo.com,400  SOUTH BROAD ST,BURLINGTON,NC,27215,,PO BOX 2686,BURLINGTON,NC,27216
0155045,Alamance,WEE CARE CHILD DEVELOPMENT CENTER,,(336) 229-0704,Five Star Center License,rostanfield@gmail.com,302 TRAIL FOUR,BURLINGTON,NC,27215,,,,,
0155112,Alamance,NEW COVENANT DAY CARE CENTER,,(336) 226-1921,Three Star Center License,lindab.cohen@yahoo.com,714 SHARPE ROAD,BURLINGTON,NC,27217,,,,,
0155113,Alamance,"HAWFIELDS PRESBY. CHILD CARE & DEV. CTR., INC.",,(336) 578-3732,Four Star Center License,cmccawley@hawfieldschildcare.com,2115 S  NC 119,MEBANE,NC,27302,,,,,
0159001,Alamance,ALTAMAHAW BAPTIST DAY CARE,,(336) 584-5949,GS 110-106,altamahawbaptistdaycare@gmail.com,3445 ALTAMAHAW CHURCH STREET,ELON,NC,27244,,,,,
0159003,Alamance,ANDREWS MEMORIAL READINESS SCHOOL II,,(336) 226-5201,GS 110-106,efox@andrewsmemorial.org,303 W ELM STREET,GRAHAM,NC,27253,,,,,
0159005,Alamance,TEMPLE CHRISTIAN PRESCHOOL,,(336) 226-0254,GS 110-106,templechristianlearningcenter@gmail.com,2224 ANTHONY RD,BURLINGTON,NC,27215,,,,,
0159010,Alamance,ALAMANCE CHRISTIAN SCHOOL DAY CARE,,(336) 578-0318,GS 110-106,woakley@alamancechristianschool.org,1336 TOWNBRANCH ROAD,GRAHAM,NC,27253,,PO BOX 838,GRAHAM,NC,27253
02000017,Alexander,SMALL HANDS LEARNING CENTER,,(704) 585-6787,Three Star Center License,smallhands96@att.net,531 STONY POINT SCHOOL ROAD,STONY POINT,NC,28678,,,,,
